France, Deformation / Velocity field horizontal 
  Long [deg],   Lat [deg],  Vel E [m/yr],  Vel N [m/yr] 
   7.7500000    42.5000000       0.00007       0.00004 
   7.7500000    42.7500000       0.00004      -0.00004 
   7.7500000    43.0000000      -0.00001      -0.00001 
   7.7500000    43.2500000      -0.00005      -0.00001 
   7.7500000    43.5000000      -0.00015      -0.00000 
   7.7500000    43.7500000      -0.00011       0.00001 
   7.7500000    44.0000000      -0.00000      -0.00001 
   7.7500000    44.2500000       0.00011       0.00010 
   7.7500000    44.5000000       0.00020       0.00002 
   7.7500000    44.7500000       0.00025      -0.00016 
   7.7500000    45.0000000       0.00021      -0.00020 
   7.7500000    45.2500000      -0.00005      -0.00008 
   7.7500000    45.5000000      -0.00014      -0.00021 
   7.7500000    45.7500000      -0.00019      -0.00033 
   7.7500000    46.0000000      -0.00021      -0.00024 
   7.7500000    46.2500000      -0.00019      -0.00007 
   7.7500000    46.5000000      -0.00006       0.00003 
   7.7500000    46.7500000       0.00001       0.00013 
   7.7500000    47.0000000       0.00003       0.00016 
   7.7500000    47.2500000      -0.00002       0.00015 
   7.7500000    47.5000000      -0.00005       0.00015 
   7.7500000    47.7500000      -0.00006       0.00014 
   7.7500000    48.0000000      -0.00010       0.00000 
   8.0000000    42.0000000       0.00010       0.00003 
   8.0000000    42.2500000       0.00007       0.00005 
   8.0000000    42.5000000       0.00003       0.00007 
   8.0000000    42.7500000      -0.00002       0.00010 
   8.0000000    43.0000000      -0.00005      -0.00012 
   8.0000000    43.2500000      -0.00011      -0.00003 
   8.0000000    43.5000000      -0.00018       0.00001 
   8.0000000    43.7500000      -0.00004       0.00001 
   8.0000000    44.0000000      -0.00001       0.00003 
   8.0000000    44.2500000       0.00006      -0.00001 
   8.0000000    44.5000000       0.00014      -0.00002 
   8.0000000    44.7500000       0.00015       0.00006 
   8.0000000    45.0000000       0.00016       0.00005 
   8.0000000    45.2500000      -0.00002      -0.00006 
   8.0000000    45.5000000      -0.00003      -0.00031 
   8.0000000    45.7500000      -0.00013      -0.00033 
   8.0000000    46.0000000      -0.00020      -0.00023 
   8.0000000    46.2500000      -0.00019      -0.00008 
   8.0000000    46.5000000      -0.00007       0.00004 
   8.0000000    46.7500000      -0.00001       0.00010 
   8.0000000    47.0000000      -0.00001       0.00013 
   8.0000000    47.2500000      -0.00002       0.00016 
   8.0000000    47.5000000      -0.00004       0.00015 
   8.0000000    47.7500000      -0.00005       0.00015 
   8.0000000    48.0000000      -0.00006       0.00015 
   8.2500000    42.0000000       0.00006       0.00007 
   8.2500000    42.2500000       0.00003       0.00009 
   8.2500000    42.5000000      -0.00011       0.00015 
   8.2500000    42.7500000      -0.00014       0.00016 
   8.2500000    43.0000000      -0.00026       0.00018 
