Deformation / Velocity field horizontal 
  Long [deg],   Lat [deg],  Vel E [m/yr],  Vel N [m/yr] 
   7.0000000    42.5000000      -0.00008       0.00001 
   7.0000000    43.0000000      -0.00010       0.00005 
   7.0000000    43.5000000      -0.00004       0.00015 
   7.0000000    44.0000000       0.00003      -0.00008 
   7.0000000    44.5000000       0.00010      -0.00018 
   7.0000000    45.0000000       0.00021      -0.00018 
   7.0000000    45.5000000      -0.00010      -0.00021 
   7.0000000    46.0000000      -0.00026      -0.00003 
   7.0000000    46.5000000      -0.00011       0.00015 
   7.0000000    47.0000000      -0.00009       0.00025 
   7.0000000    47.5000000      -0.00017       0.00019 
   7.0000000    48.0000000       0.00015      -0.00006 
   7.0000000    48.5000000       0.00013      -0.00024 
   7.0000000    49.0000000      -0.00009      -0.00011 
   7.0000000    49.5000000      -0.00015      -0.00020 
   7.0000000    50.0000000      -0.00027      -0.00011 
   7.0000000    50.5000000      -0.00034      -0.00008 
   7.0000000    51.0000000      -0.00029       0.00003 
   7.0000000    51.5000000      -0.00027       0.00008 
   7.0000000    52.0000000      -0.00025       0.00012 
   7.0000000    52.5000000      -0.00024       0.00023 
   7.0000000    53.0000000      -0.00024       0.00024 
   7.5000000    42.0000000      -0.00009      -0.00007 
   7.5000000    42.5000000      -0.00008      -0.00002 
   7.5000000    43.0000000      -0.00002       0.00015 
   7.5000000    43.5000000       0.00002       0.00010 
   7.5000000    44.0000000       0.00013      -0.00002 
   7.5000000    44.5000000       0.00028      -0.00022 
   7.5000000    45.0000000       0.00027      -0.00028 
   7.5000000    45.5000000      -0.00004      -0.00020 
   7.5000000    46.0000000      -0.00018      -0.00004 
   7.5000000    46.5000000      -0.00012       0.00016 
   7.5000000    47.0000000      -0.00008       0.00035 
