# Normal Strain Field, 
# Long [deg],   Lat [deg],   Eps1,          Eps2,         AziEps2 [deg] 
  -2.1250000    42.3750000  +4.518987e-10  -3.272784e-10      87.79 
  -2.1250000    42.6250000  +7.584190e-10  -4.089299e-10      80.46 
  -2.1250000    42.8750000  +3.405739e-10  -4.527226e-10      74.84 
  -2.1250000    43.1250000  +2.966107e-10  -5.131531e-10      68.35 
  -2.1250000    43.3750000  +1.560025e-09  -6.262286e-10      70.28 
  -2.1250000    43.6250000  +9.284980e-11  -5.715334e-10      59.57 
  -2.1250000    43.8750000  -5.527739e-11  -3.151448e-10      85.34 
  -2.1250000    44.1250000  +1.469840e-09  -6.603823e-09     153.04 
  -2.1250000    44.3750000  +5.675679e-09  -1.926579e-09      29.16 
  -2.1250000    44.6250000  +1.525309e-09  -2.755263e-09      19.71 
  -2.1250000    44.8750000  +1.490152e-09  -2.004572e-09      54.62 
  -2.1250000    45.1250000  +1.958027e-09  +7.065367e-10      19.73 
  -2.1250000    45.3750000  +1.152097e-09  -3.531055e-10     174.05 
  -2.1250000    45.6250000  +1.851509e-09  -3.994563e-10      14.35 
  -2.1250000    45.8750000  +2.708656e-09  -1.744679e-09      23.97 
  -2.1250000    46.1250000  +3.460571e-10  -1.275512e-09      63.34 
  -2.1250000    46.3750000  +2.006044e-09  +1.357342e-10      14.12 
  -2.1250000    46.6250000  +2.109329e-09  +1.685096e-10      18.60 
  -2.1250000    46.8750000  +2.312714e-09  +7.460931e-10      31.86 
  -2.1250000    47.1250000  +2.869527e-09  +3.497972e-10      42.23 
  -2.1250000    47.3750000  +3.514722e-09  +1.664670e-10      52.14 
  -2.1250000    47.6250000  +3.519614e-09  -1.829516e-10      58.83 
  -2.1250000    47.8750000  +2.395941e-09  -6.006452e-10      64.10 
  -2.1250000    48.1250000  +7.373225e-10  -9.438954e-10      68.43 
  -2.1250000    48.3750000  -7.101930e-10  -1.112578e-09      67.34 
  -2.1250000    48.6250000  -1.101263e-09  -1.801062e-09     168.95 
  -2.1250000    48.8750000  -9.902412e-10  -2.573784e-09     167.04 
  -2.1250000    49.1250000  -8.131612e-10  -3.040539e-09     164.91 
  -2.1250000    49.3750000  -5.543275e-10  -3.007749e-09     158.94 
  -2.1250000    49.6250000  +2.034204e-10  -2.425219e-09     141.39 
  -2.1250000    49.8750000  +6.066154e-10  -1.606055e-09     131.20 
  -2.1250000    50.1250000  +5.384040e-10  -1.023354e-09     128.02 
  -2.1250000    50.3750000  +4.905890e-10  -7.768251e-10     127.98 
  -2.1250000    50.6250000  +4.657684e-10  -6.506177e-10     128.99 
  -2.1250000    50.8750000  +4.520685e-10  -5.739548e-10     130.04 
  -2.1250000    51.1250000  +4.420599e-10  -5.210650e-10     130.80 
  -2.1250000    51.3750000  +4.320214e-10  -4.809760e-10     131.22 
  -2.1250000    51.6250000  +4.204871e-10  -4.485274e-10     131.35 
  -2.1250000    51.8750000  +4.071689e-10  -4.210995e-10     131.26 
  -2.1250000    52.1250000  +5.854644e-09  -2.422757e-09      69.03 
  -2.1250000    52.3750000  +6.206024e-10  -2.228748e-10     113.28 
  -2.1250000    52.6250000  +5.230556e-09  -7.547980e-09     160.01 
  -2.1250000    52.8750000  +2.858672e-10  -3.642647e-10     137.37 
  -1.8750000    42.1250000  +2.709470e-09  -2.333241e-10      90.31 
  -1.8750000    42.3750000  +1.579977e-09  -1.450567e-09     126.69 
  -1.8750000    42.6250000  +7.783699e-10  -4.225395e-10      81.11 
  -1.8750000    42.8750000  +3.081902e-10  -6.576984e-10      90.80 
  -1.8750000    43.1250000  +3.072297e-10  -5.556600e-10      68.39 
  -1.8750000    43.3750000  +1.475070e-09  -6.658989e-10      69.80 
  -1.8750000    43.6250000  +8.306132e-11  -6.253119e-10      57.78 
  -1.8750000    43.8750000  -1.094002e-10  -3.335279e-10      75.28 
  -1.8750000    44.1250000  +1.277055e-09  -2.474179e-09     141.53 
  -1.8750000    44.3750000  +5.945943e-09  -3.714483e-09     179.70 
  -1.8750000    44.6250000  +5.059738e-09  -1.818517e-09      25.87 
  -1.8750000    44.8750000  +1.699636e-09  -2.405986e-09      19.94 
  -1.8750000    45.1250000  +1.595542e-09  +1.878647e-10      25.98 
  -1.8750000    45.3750000  +2.088630e-09  +3.326855e-10      30.31 
  -1.8750000    45.6250000  +1.257184e-09  -6.805529e-11       5.06 
  -1.8750000    45.8750000  +2.178225e-09  -1.465864e-10      15.20 
  -1.8750000    46.1250000  +4.396866e-09  -4.463739e-10       2.01 
  -1.8750000    46.3750000  +2.077780e-09  +2.745074e-10      14.14 
  -1.8750000    46.6250000  +2.031908e-09  +3.179496e-10      17.54 
