Long [deg],  Lat[deg],    Ve[m/yr],  Vn[m/yr],  SVe[m/yr], SVn[m/yr], angle[deg],    Name
 0.0000000  46.5000000    0.00010   0.00012     0.000073    0.000034    0.0 
 0.0000000  47.0000000    0.00011   0.00010     0.000086    0.000033    0.0 
 0.0000000  47.5000000    0.00013   0.00007     0.000092    0.000031    0.0 
 0.0000000  48.0000000    0.00015  -0.00001     0.000078    0.000071    0.0 
 0.0000000  48.5000000    0.00018  -0.00007     0.000078    0.000071    0.0 
 0.0000000  49.0000000    0.00021  -0.00014     0.000063    0.000034    0.0 
 0.0000000  49.5000000    0.00020  -0.00016     0.000071    0.000078    0.0 
 0.0000000  50.0000000    0.00019  -0.00016     0.000074    0.000082    0.0 
 0.0000000  50.5000000    0.00017  -0.00004     0.000075    0.000040    0.0 
 0.0000000  51.0000000    0.00015   0.00003     0.000082    0.000040    0.0 
 0.0000000  51.5000000    0.00019  -0.00008     0.000046    0.000043    0.0 
 0.0000000  52.0000000    0.00018  -0.00006     0.000046    0.000043    0.0 
 0.0000000  52.5000000    0.00018  -0.00004     0.000047    0.000043    0.0 
 0.0000000  53.0000000    0.00018  -0.00002     0.000048    0.000043    0.0 
 0.5000000  41.0000000   -0.00015  -0.00002     0.000171    0.000186    0.0 
 0.5000000  41.5000000   -0.00017   0.00002     0.000156    0.000172    0.0 
 0.5000000  42.0000000   -0.00021   0.00009     0.000138    0.000154    0.0 
 0.5000000  42.5000000   -0.00028   0.00020     0.000118    0.000133    0.0 
 0.5000000  43.0000000   -0.00038   0.00032     0.000097    0.000113    0.0 
 0.5000000  43.5000000   -0.00028   0.00026     0.000097    0.000113    0.0 
 0.5000000  44.0000000   -0.00009  -0.00007     0.000120    0.000249    0.0 
 0.5000000  44.5000000   -0.00003   0.00003     0.000051    0.000046    0.0 
 0.5000000  45.0000000    0.00006  -0.00001     0.000083    0.000062    0.0 
 0.5000000  45.5000000    0.00012  -0.00003     0.000044    0.000060    0.0 
 0.5000000  46.0000000    0.00013   0.00003     0.000077    0.000073    0.0 
 0.5000000  46.5000000    0.00012   0.00004     0.000105    0.000075    0.0 
 0.5000000  47.0000000    0.00016   0.00008     0.000058    0.000050    0.0 
 0.5000000  47.5000000    0.00016   0.00002     0.000087    0.000033    0.0 
 0.5000000  48.0000000    0.00020  -0.00003     0.000092    0.000031    0.0 
 0.5000000  48.5000000    0.00026  -0.00011     0.000064    0.000049    0.0 
 0.5000000  49.0000000    0.00027  -0.00016     0.000065    0.000049    0.0 
 0.5000000  49.5000000    0.00024  -0.00019     0.000072    0.000080    0.0 
 0.5000000  50.0000000    0.00021  -0.00011     0.000071    0.000041    0.0 
 0.5000000  50.5000000    0.00018  -0.00005     0.000077    0.000040    0.0 
 0.5000000  51.0000000    0.00015   0.00002     0.000083    0.000039    0.0 
 0.5000000  51.5000000    0.00013  -0.00013     0.000067    0.000098    0.0 
 0.5000000  52.0000000    0.00012  -0.00011     0.000071    0.000106    0.0 
 0.5000000  52.5000000    0.00011  -0.00009     0.000075    0.000113    0.0 
 0.5000000  53.0000000    0.00010  -0.00008     0.000079    0.000120    0.0 
 1.0000000  41.0000000   -0.00016  -0.00002     0.000149    0.000142    0.0 
 1.0000000  41.5000000   -0.00012  -0.00004     0.000149    0.000166    0.0 
 1.0000000  42.0000000   -0.00014   0.00001     0.000129    0.000145    0.0 
 1.0000000  42.5000000   -0.00020   0.00014     0.000106    0.000120    0.0 
 1.0000000  43.0000000   -0.00038   0.00035     0.000072    0.000082    0.0 
 1.0000000  43.5000000   -0.00018   0.00021     0.000073    0.000083    0.0 
 1.0000000  44.0000000    0.00003  -0.00000     0.000072    0.000059    0.0 
 1.0000000  44.5000000    0.00003  -0.00011     0.000062    0.000054    0.0 
 1.0000000  45.0000000    0.00010  -0.00009     0.000107    0.000064    0.0 
 1.0000000  45.5000000    0.00014  -0.00010     0.000043    0.000058    0.0 
 1.0000000  46.0000000    0.00015  -0.00004     0.000044    0.000113    0.0 
 1.0000000  46.5000000    0.00015  -0.00002     0.000043    0.000117    0.0 
 1.0000000  47.0000000    0.00014  -0.00002     0.000091    0.000088    0.0 
 1.0000000  47.5000000    0.00017  -0.00005     0.000057    0.000062    0.0 
 1.0000000  48.0000000    0.00023  -0.00013     0.000082    0.000051    0.0 
 1.0000000  48.5000000    0.00027  -0.00019     0.000071    0.000059    0.0 
 1.0000000  49.0000000    0.00030  -0.00024     0.000066    0.000059    0.0 
 1.0000000  49.5000000    0.00026  -0.00020     0.000065    0.000021    0.0 
 1.0000000  50.0000000    0.00023  -0.00022     0.000052    0.000024    0.0 
 1.0000000  50.5000000    0.00020  -0.00017     0.000054    0.000035    0.0 
 1.0000000  51.0000000    0.00012  -0.00016     0.000047    0.000028    0.0 
 1.0000000  51.5000000    0.00009  -0.00012     0.000066    0.000058    0.0 
 1.0000000  52.0000000    0.00007  -0.00010     0.000070    0.000060    0.0 
