Velocity field of ALP_NET, file FMC_IGB_W1.SNX 
	     Apprixmate coordinates 
Site     Long        Lat       Height         Ve_res  SVe      Vn_res  SVn      Vu     Svu     Start     End    Tobs(used)  
         deg         deg          m              mm/yr            mm/yr            mm/yr       yyyy.y   yyyy.y  years
MOUS      6.78       48.68      298.0         0.20 ± 0.09     -0.24 ± 0.11     -0.11 ± 0.34    2007.5 - 2014.0   6.5 
MPRA     12.99       46.24      808.6        -0.60 ± 0.05      1.42 ± 0.05      0.06 ± 0.18    2005.0 - 2016.4  11.4 
MTPL      3.86       43.64      120.3        -0.02 ± 0.07      0.01 ± 0.08     -0.11 ± 0.26    2004.0 - 2013.9   9.9 
NICA      7.23       43.70      256.5        -0.05 ± 0.07      0.08 ± 0.09     -0.17 ± 0.28    2004.0 - 2015.0  10.9 
NICE      7.30       43.73      427.3         0.06 ± 0.05     -0.03 ± 0.06      0.14 ± 0.19    2004.0 - 2016.4  12.4 
NOVE     12.59       45.67       47.9         0.43 ± 0.12      1.44 ± 0.13     -2.08 ± 0.43    2009.4 - 2016.4   7.0 
OATO      7.77       45.04      658.8        -0.09 ± 0.10     -0.65 ± 0.12      0.50 ± 0.44    2005.8 - 2015.0   9.2 
OBE2     11.28       48.09      641.4        -0.33 ± 0.54      0.39 ± 0.70      0.96 ± 2.18    2004.0 - 2007.7   3.7 
OBE4     11.28       48.08      650.5        -0.15 ± 0.10      0.27 ± 0.12     -0.29 ± 0.39    2012.7 - 2016.4   3.7 
OGAG      6.54       44.79     1356.5         0.84 ± 0.80      0.39 ± 0.72      3.03 ± 3.96    2011.5 - 2016.4   4.8 
PADO     11.90       45.41       64.7         0.09 ± 0.06      1.39 ± 0.08     -0.67 ± 0.24    2004.0 - 2016.4  12.4 
PALI      4.81       43.38       60.4        -0.28 ± 0.07      0.28 ± 0.09     -0.97 ± 0.27    2007.9 - 2016.4   8.4 
PARD      2.82       43.43      622.8         0.18 ± 0.11      0.07 ± 0.14     -0.06 ± 0.46    2007.9 - 2015.9   8.0 
PARO      8.08       44.45      849.8         0.47 ± 0.15     -0.08 ± 0.18      0.38 ± 0.62    2009.0 - 2015.0   6.0 
PAZO     13.05       45.81       50.1        -0.12 ± 0.09      1.98 ± 0.10     -0.34 ± 0.33    2007.9 - 2016.2   8.2 
PFA2      9.78       47.52     1090.1         0.04 ± 0.09      0.39 ± 0.10      0.88 ± 0.33    2008.8 - 2016.4   7.6 
PFAN      9.78       47.52     1090.3         0.04 ± 0.09      0.39 ± 0.11      0.88 ± 0.33    2004.2 - 2007.9   3.7 
PIGN      6.23       43.30      234.5        -0.16 ± 0.08      0.18 ± 0.09     -0.22 ± 0.30    2007.5 - 2015.0   7.5 
PLOE     -3.43       47.75       73.9        -0.04 ± 0.07      0.43 ± 0.09     -0.04 ± 0.29    2006.9 - 2016.4   9.5 
POGG      8.16       44.11      855.6         0.17 ± 0.41      0.26 ± 0.51     -0.10 ± 1.69    2006.1 - 2013.0   6.9 
POLI      5.47       45.25      280.1        -0.05 ± 0.09      0.08 ± 0.10      0.20 ± 0.34    2007.5 - 2015.0   7.5 
PORA     10.11       45.89     1927.3        -0.37 ± 0.16      0.56 ± 0.19      0.42 ± 0.63    2008.7 - 2012.4   3.7 
PORE     13.60       45.23       66.2        -0.08 ± 0.12      2.85 ± 0.13      0.57 ± 0.45    2011.7 - 2016.4   4.7 
POTS     13.07       52.38      144.4        -0.25 ± 0.12     -0.16 ± 0.16      0.23 ± 0.49    2004.0 - 2009.2   5.2 
PQRL      6.21       42.98      112.3        -0.02 ± 0.15     -0.02 ± 0.18     -0.80 ± 0.64    2004.0 - 2014.8   9.5 
PRAT     11.10       43.89      120.0         0.33 ± 0.12      1.99 ± 0.15      0.67 ± 0.53    2005.2 - 2016.4  11.2 
PUEC      3.31       43.69      256.0         0.17 ± 0.08      0.06 ± 0.10     -0.08 ± 0.34    2007.5 - 2015.0   7.5 
PUYA      6.48       44.86     1690.3         0.03 ± 0.06      0.29 ± 0.06      1.64 ± 0.23    2005.9 - 2016.4  10.5 
PUYV      3.88       45.04      710.4         0.19 ± 0.08      0.38 ± 0.09     -0.06 ± 0.31    2004.7 - 2016.4  11.7 
RABU      6.98       44.27     2551.8         0.03 ± 0.07     -0.17 ± 0.08      0.50 ± 0.28    2004.0 - 2015.8  11.8 
RIED     13.49       48.20      505.3         0.40 ± 0.37      0.59 ± 0.49      0.57 ± 1.49    2004.0 - 2006.4   2.3 
RIXH      7.38       47.73      366.8         0.06 ± 0.16      0.06 ± 0.20      0.43 ± 0.66    2011.2 - 2016.4   5.2 
ROHR     14.00       48.57      658.1        -0.19 ± 0.43      0.14 ± 0.59      0.95 ± 1.80    2004.0 - 2006.4   2.3 
ROSD      6.63       45.69     1694.5        -0.44 ± 0.07     -0.09 ± 0.08      2.21 ± 0.26    2006.0 - 2016.4  10.5 
ROVE     11.04       45.89      261.7        -0.13 ± 0.16      0.57 ± 0.17      1.71 ± 0.62    2006.2 - 2016.4   9.8 
RSTL      5.48       43.94     1069.8        -0.28 ± 0.05      0.09 ± 0.05      0.22 ± 0.17    2004.0 - 2016.4  12.4 
SAPI      4.91       45.71      246.1         0.12 ± 0.11     -0.09 ± 0.13     -0.09 ± 0.44    2010.0 - 2015.0   5.0 
SAUV      4.47       44.26      367.4        -0.07 ± 0.05      0.04 ± 0.06      0.05 ± 0.19    2004.5 - 2016.4  12.0 
SBG2     13.11       47.80     1323.4        -0.32 ± 0.08      0.92 ± 0.09      0.38 ± 0.30    2008.8 - 2016.4   7.6 
SBGZ     13.11       47.80     1323.6        -0.32 ± 0.08      0.92 ± 0.10      0.38 ± 0.30    2004.2 - 2006.5   2.3 
SETE      3.70       43.40       55.0         0.24 ± 0.11      0.11 ± 0.13     -0.31 ± 0.44    2007.8 - 2016.4   8.6 
SIMA      5.42       46.22      367.0        -0.04 ± 0.10     -0.27 ± 0.11     -0.12 ± 0.39    2008.9 - 2015.0   6.1 
SJDV      4.68       45.88      432.4        -0.01 ± 0.05      0.10 ± 0.05     -0.07 ± 0.17    2004.0 - 2016.4  12.4 
SLVT      3.27       43.92      811.8         0.01 ± 0.09      0.14 ± 0.11      0.14 ± 0.37    2007.7 - 2014.8   7.1 
SOND      9.85       46.17      529.2         0.17 ± 0.13     -0.24 ± 0.16      1.22 ± 0.60    2006.6 - 2012.9   6.4 
SOPH      7.05       43.61      178.8         0.00 ± 0.05      0.16 ± 0.06      0.07 ± 0.20    2004.0 - 2016.4  12.4 
SOUR      2.43       42.73      595.6         0.30 ± 0.14     -0.51 ± 0.16      0.05 ± 0.58    2009.4 - 2015.0   5.6 
SPRN     16.58       47.68      278.9         0.63 ± 0.09     -0.12 ± 0.11      0.47 ± 0.34    2007.6 - 2016.4   8.8 
STEY      5.76       45.24     1394.9        -0.42 ± 0.04      0.06 ± 0.05      1.22 ± 0.14    2004.0 - 2016.4  12.4 
STGR      4.57       44.19      136.9         0.14 ± 0.07     -0.10 ± 0.07     -0.39 ± 0.25    2007.5 - 2015.0   7.5 
STJ9      7.68       48.62      237.2         0.00 ± 0.04      0.12 ± 0.05     -0.41 ± 0.16    2004.0 - 2016.4  12.4 
STMR      4.42       43.45       56.1        -0.31 ± 0.10     -0.05 ± 0.12     -1.85 ± 0.38    2008.3 - 2016.4   8.1 
SUSE     12.21       45.86      221.7         0.10 ± 0.14      1.33 ± 0.16     -0.65 ± 0.56    2011.4 - 2016.4   5.0 
TENC      4.29       45.12      936.5         0.16 ± 0.11     -0.00 ± 0.14      0.31 ± 0.46    2004.5 - 2014.5  10.0 
TLSE      1.48       43.56      207.2         0.22 ± 0.14     -0.10 ± 0.17      0.31 ± 0.59    2004.0 - 2009.5   5.5 
TORI      7.66       45.06      310.7         0.12 ± 0.16     -0.13 ± 0.18      0.65 ± 0.67    2004.8 - 2016.4   7.4 
TRES      5.90       45.68      375.6        -0.18 ± 0.08     -0.22 ± 0.09      0.96 ± 0.31    2007.6 - 2015.0   7.4 
TRF2     15.86       47.93     1092.5         0.08 ± 0.16      0.15 ± 0.16     -0.90 ± 0.65    2008.2 - 2016.4  10.0 
TRIE     13.76       45.71      323.4        -0.49 ± 0.04      2.47 ± 0.05     -0.01 ± 0.15    2005.0 - 2016.4  11.4 
TROC      5.08       46.73      257.5         0.27 ± 0.10     -0.21 ± 0.11     -0.43 ± 0.38    2008.7 - 2015.0   6.3 
TROP      6.60       43.22      369.3        -0.21 ± 0.06      0.19 ± 0.07     -0.32 ± 0.22    2005.7 - 2015.8  10.1 
UDI1     13.25       46.04      149.3        -0.61 ± 0.05      1.98 ± 0.06      0.07 ± 0.19    2006.4 - 2016.4  10.0 
UNPG     12.36       43.12      351.1         0.28 ± 0.37      0.96 ± 0.40      0.59 ± 1.48    2014.0 - 2016.4   2.4 
VALD      6.72       43.80     1148.2        -0.01 ± 0.15     -0.29 ± 0.18      0.53 ± 0.64    2009.4 - 2015.0   5.6 
VARM     12.57       46.46     2121.4        -0.06 ± 0.17      0.48 ± 0.20      1.78 ± 0.64    2012.6 - 2016.4   3.8 
VAUC      5.83       47.66      283.9        -0.17 ± 0.13      0.19 ± 0.16     -1.35 ± 0.52    2008.6 - 2015.0   6.4 
VEN1     12.35       45.43       60.4        -0.01 ± 0.06      1.11 ± 0.07     -1.36 ± 0.22    2010.0 - 2016.4   6.5 
VERN     10.83       46.87     3127.3        -0.06 ± 0.10      0.61 ± 0.11      2.29 ± 0.38    2010.6 - 2016.3   5.8 
VFCH      1.72       47.29      153.3         0.16 ± 0.10     -0.06 ± 0.12      0.12 ± 0.37    2005.4 - 2016.4  10.9 
VIGY      6.29       49.20      310.3        -0.32 ± 0.24      0.57 ± 0.29     -0.07 ± 0.96    2010.4 - 2014.7   4.3 
VLCH     13.85       46.61      572.1         0.16 ± 0.06      0.91 ± 0.08      0.84 ± 0.24    2004.0 - 2016.4  12.4 
VLKM     14.63       46.66      527.3         0.71 ± 0.28      1.11 ± 0.35      0.05 ± 1.13    2004.0 - 2016.4  10.7 
WART     12.81       47.65     1749.4         0.03 ± 0.05      0.52 ± 0.06      0.50 ± 0.21    2005.6 - 2016.1  10.5 
WELS     14.02       48.16      385.2         0.13 ± 0.06      0.17 ± 0.08      0.17 ± 0.23    2005.3 - 2016.4  11.1 
WIEN     16.37       48.22      243.8        -1.00 ± 0.15      0.84 ± 0.20     -0.67 ± 0.63    2004.0 - 2016.4   7.2 
WLBH      7.35       48.42      819.1        -0.02 ± 0.06     -0.26 ± 0.08     -2.88 ± 0.27    2004.0 - 2016.4  12.4 
WT21     12.88       49.15      657.4         0.05 ± 0.09      0.11 ± 0.12     -0.00 ± 0.36    2010.8 - 2016.4   5.6 
WTZR     12.88       49.14      666.0        -0.03 ± 0.04      0.15 ± 0.05     -0.15 ± 0.09    2004.0 - 2016.4  11.4 
